engine_power,age_in_days,km,previous_owners,price,model_lounge,model_pop,model_sport,transmission_manual
69,4474,56779,2,4490,0,1,0,1
69,2708,160000,1,4500,1,0,0,1
69,3470,170000,2,4500,1,0,0,0
69,3288,132000,2,4700,0,0,1,1
69,3712,124490,2,4790,0,0,1,1
69,3684,91000,1,4900,1,0,0,1
69,4353,90068,1,4950,1,0,0,0
69,4414,69000,2,5290,0,1,0,1
69,4322,117000,1,5399,1,0,0,0
99,4566,78000,1,5800,1,0,0,1
69,3500,121000,2,5850,1,0,0,1
69,3197,51083,2,5880,1,0,0,1
69,2251,87000,2,5990,1,0,0,1
69,3774,79000,1,6300,0,1,0,1
69,4018,101156,1,6499,1,0,0,1
69,2922,31350,1,6500,0,1,0,1
69,2588,71553,1,6700,0,0,1,1
69,2647,50000,2,6900,1,0,0,1
99,3592,74903,1,6900,1,0,0,0
69,2922,87000,2,6900,1,0,0,0
69,2070,114000,1,7000,1,0,0,1
69,1096,61197,2,7100,1,0,0,1
69,1096,62214,2,7100,1,0,0,1
69,2527,48000,1,7200,1,0,0,1
69,2251,73453,4,7300,1,0,0,1
69,1066,59961,2,7480,1,0,0,1
69,1066,59961,2,7480,1,0,0,1
69,2739,77149,3,7800,0,0,1,1
69,1096,57000,2,7900,1,0,0,1
69,762,16000,1,7990,1,0,0,1
69,1096,27200,1,7990,0,1,0,1
69,1886,55000,1,8000,1,0,0,1
69,1431,54600,2,8000,1,0,0,1
69,578,28000,1,8299,1,0,0,1
69,609,25000,1,8299,1,0,0,1
69,578,19000,1,8299,1,0,0,1
69,1521,37500,1,8490,0,1,0,1
69,762,36993,2,8980,1,0,0,1
69,762,36112,2,8980,1,0,0,1
69,762,36993,2,8980,1,0,0,1
69,425,14000,1,9200,1,0,0,1
69,397,16000,1,9200,1,0,0,1
69,1127,21365,2,9300,0,1,0,1
69,640,22100,2,9390,1,0,0,1
69,366,12929,2,9400,0,1,0,1
69,397,16755,1,9490,1,0,0,1
69,397,16755,1,9490,1,0,0,1
69,456,13215,1,9490,1,0,0,1
69,1370,27512,1,9490,1,0,0,1
69,456,15000,1,9499,1,0,0,1
69,456,15000,1,9499,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,456,11998,1,9590,1,0,0,1
69,790,39528,2,9600,1,0,0,1
69,183,29826,2,9680,1,0,0,1
69,397,12917,1,9690,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,456,20941,1,9700,1,0,0,1
69,701,39162,2,9780,0,0,1,1
69,790,19133,1,9850,1,0,0,1
69,456,11511,2,9890,1,0,0,1
69,456,15344,2,9890,1,0,0,1
69,456,17253,2,9890,1,0,0,1
69,548,22609,1,9900,1,0,0,1
69,640,18000,1,9900,1,0,0,1
69,244,14000,2,9900,1,0,0,1
69,762,22020,2,9900,1,0,0,1
69,397,9700,1,9950,1,0,0,1
69,701,17324,2,9950,1,0,0,1
69,152,56779,2,9950,0,1,0,1
69,152,56779,2,9950,0,1,0,1
69,397,16100,1,9970,1,0,0,1
69,397,15000,1,9970,0,1,0,1
69,275,16111,2,9980,1,0,0,1
69,731,12000,2,9980,1,0,0,1
69,397,18324,2,9990,1,0,0,1
69,701,56779,2,10180,0,0,1,1
69,487,56779,1,10500,1,0,0,1
69,456,18253,2,10900,1,0,0,1
69,456,21907,2,10900,1,0,0,1
69,91,56779,1,10950,0,1,0,1
69,275,7900,1,10990,0,0,0,1
69,397,8700,1,10990,0,1,0,1
69,670,9000,2,11090,0,1,0,1
69,640,24300,1,11200,0,1,0,1
69,640,16300,1,11600,0,1,0,1
69,366,12610,2,11850,1,0,0,0
69,91,56779,2,11890,1,0,0,1
69,366,10000,1,11900,1,0,0,0
69,762,26000,2,11970,1,0,0,1
69,275,4981,2,12279,0,1,0,0
69,91,56779,1,12450,0,0,1,1
69,91,56779,2,12450,0,0,1,1
69,91,56779,2,12890,1,0,0,0
69,1217,47983,1,12900,0,1,0,1
69,4596,259000,2,2890,1,0,0,1
101,4719,182000,2,3250,0,0,1,0
69,4292,190000,1,3300,1,0,0,0
69,3957,151000,1,3400,0,1,0,1
69,4627,148000,1,3500,0,1,0,1
69,4383,82000,2,3500,1,0,0,1
99,4658,165000,2,3600,0,1,0,1
69,4414,149000,1,3600,1,0,0,1
69,4077,151000,2,3650,0,0,1,1
99,4169,106500,1,3700,0,0,1,1
69,4535,125000,2,3750,0,1,0,1
99,4414,190000,1,3800,0,0,1,1
99,4414,115000,2,3900,1,0,0,1
69,3774,139000,2,3900,0,1,0,1
69,3804,110000,1,3900,0,1,0,1
69,4414,149326,2,3900,1,0,0,1
69,3288,160012,4,3900,0,0,1,1
69,4322,151500,1,3900,0,1,0,1
69,3774,124000,2,3900,1,0,0,1
69,2527,82000,1,3950,0,1,0,0
69,4383,107600,1,3950,0,1,0,1
69,4200,145900,2,3950,0,0,1,1
69,4566,173960,2,3990,0,1,0,1
69,4230,93000,1,3999,1,0,0,1
69,3470,87900,1,4000,1,0,0,1
69,4566,140000,1,4000,0,1,0,1
99,4658,123000,2,4000,0,0,1,1
69,3774,85000,2,4000,1,0,0,1
99,4108,129000,2,4000,0,0,1,1
99,4383,127000,2,4000,0,1,0,1
69,4383,129800,1,4090,0,1,0,1
69,4139,136000,1,4100,0,1,0,1
69,4322,126000,2,4150,0,1,0,1
69,3470,150000,1,4200,1,0,0,1
99,4627,164000,2,4200,0,0,1,1
69,4474,165000,1,4200,1,0,0,1
69,4200,145994,1,4200,0,1,0,1
101,4658,142228,2,4200,0,0,1,1
69,4230,156000,3,4250,0,1,0,1
69,4077,124000,1,4250,0,0,1,1
69,4322,145430,1,4300,0,1,0,1
69,4230,117000,1,4300,1,0,0,1
69,4139,157000,1,4300,1,0,0,1
69,4353,104000,1,4300,0,1,0,1
69,4230,155000,1,4399,0,1,0,1
69,4474,92397,1,4400,0,0,1,1
69,4322,110000,1,4400,1,0,0,1
69,3623,185000,1,4400,0,0,1,1
99,4322,128000,1,4400,0,0,1,1
69,3927,180000,1,4400,1,0,0,1
69,4353,110443,3,4450,0,0,1,1
69,4535,124000,1,4450,1,0,0,1
69,4018,115000,1,4490,0,1,0,1
101,4414,129000,1,4490,0,1,0,1
69,4414,119000,1,4490,0,1,0,1
69,4230,88000,1,4490,0,1,0,1
69,3835,129892,2,4490,0,0,1,1
101,4658,135000,2,4490,1,0,0,1
69,4474,138000,2,4490,0,1,0,1
69,3804,149900,2,4490,1,0,0,1
69,3865,155000,2,4499,1,0,0,1
69,4383,170000,2,4500,0,1,0,1
69,4383,90000,1,4500,0,1,0,1
69,3927,156000,2,4500,1,0,0,1
69,4139,123105,2,4500,1,0,0,1
69,4230,145815,1,4500,1,0,0,0
69,3804,114000,1,4500,1,0,0,1
69,4108,146692,1,4500,0,0,1,1
69,4049,158000,1,4500,1,0,0,1
69,4443,113000,1,4500,0,1,0,1
69,4139,79709,1,4500,0,0,1,1
69,4169,137000,1,4500,1,0,0,0
99,4566,155151,2,4500,0,0,1,1
84,2769,128000,1,4500,1,0,0,1
69,3653,81000,2,4500,0,1,0,1
69,4322,103387,2,4500,0,0,1,1
69,4200,131000,2,4500,0,1,0,1
99,4658,143000,2,4500,1,0,0,1
69,4018,99999,1,4500,0,1,0,1
69,4322,95000,1,4500,0,0,1,1
101,3835,112000,1,4600,1,0,0,1
69,3258,139700,1,4600,1,0,0,1
84,2769,128000,1,4500,1,0,0,1
69,3653,81000,2,4500,0,1,0,1
69,4322,103387,2,4500,0,0,1,1
69,4200,131000,2,4500,0,1,0,1
99,4658,143000,2,4500,1,0,0,1
69,4018,99999,1,4500,0,1,0,1
69,4322,95000,1,4500,0,0,1,1
101,3835,112000,1,4600,1,0,0,1
69,3258,139700,1,4600,1,0,0,1
84,3347,138000,2,4600,1,0,0,1
101,4322,170000,2,4600,1,0,0,1
69,3835,115000,1,4600,0,1,0,1
69,4200,164000,2,4650,1,0,0,1
69,4383,125000,2,4690,1,0,0,1
69,4200,97000,2,4700,1,0,0,1
69,3531,159200,2,4700,1,0,0,1
69,3013,220034,2,4700,1,0,0,1
69,3684,107304,1,4700,1,0,0,1
69,4443,110000,2,4700,0,1,0,1
69,4261,153584,2,4750,1,0,0,1
69,4292,178000,1,4800,0,1,0,1
69,4443,126500,1,4800,0,0,1,1
99,3439,150000,2,4800,0,1,0,1
99,4535,120000,2,4800,1,0,0,1
69,3409,120000,2,4800,0,1,0,1
69,4322,137000,1,4800,1,0,0,1
69,3653,112100,1,4850,1,0,0,0
69,4353,137500,2,4890,0,1,0,1
69,3804,154000,2,4900,1,0,0,0
69,4383,134114,2,4900,1,0,0,1
69,4322,120000,1,4900,0,0,1,1
69,3988,115557,2,4900,1,0,0,1
69,4474,114000,2,4900,0,1,0,1
99,4322,187160,1,4900,1,0,0,1
99,4443,90000,1,4900,0,0,1,1
69,3835,97350,2,4900,1,0,0,1
69,3258,120000,1,4900,1,0,0,1
69,3684,116000,2,4900,0,1,0,1
69,4566,110969,2,4900,0,1,0,1
69,3227,142000,2,4900,1,0,0,1
69,4169,81900,2,4900,1,0,0,1
69,4596,88000,2,4900,0,1,0,1
69,3896,60000,1,4900,0,1,0,1
69,3197,139000,1,4900,1,0,0,1
101,4596,97000,1,4900,0,0,1,1
69,4018,80000,2,4900,1,0,0,1
84,3347,123000,1,4900,1,0,0,1
69,3684,160000,2,4900,0,0,1,1
101,3896,157000,2,4900,0,0,1,1
69,3562,125551,2,4900,1,0,0,1
69,4505,81000,1,4900,1,0,0,1
69,4139,114000,1,4900,1,0,0,1
69,4049,163000,1,4900,0,1,0,1
69,3623,136000,2,4900,0,1,0,1
69,4474,130000,2,4900,1,0,0,1
69,4322,132848,2,4900,0,1,0,1
69,4474,89000,2,4900,1,0,0,1
99,4018,126000,1,4900,1,0,0,1
69,4566,140000,1,4900,0,1,0,1
69,3957,111000,2,4900,1,0,0,1
69,4139,114000,1,4900,1,0,0,1
69,4049,163000,1,4900,0,1,0,1
69,3623,136000,2,4900,0,1,0,1
69,4474,130000,2,4900,1,0,0,1
69,4322,132848,2,4900,0,1,0,1
69,4474,89000,2,4900,1,0,0,1
99,4018,126000,1,4900,1,0,0,1
69,4566,140000,1,4900,0,1,0,1
69,3957,111000,2,4900,1,0,0,1
69,4322,132850,1,4900,0,1,0,1
69,3957,148700,2,4900,0,1,0,1
69,3957,148700,2,4900,0,1,0,1
69,3957,148700,2,4900,0,1,0,1
84,3013,120000,1,4900,0,1,0,1
69,4077,125000,2,4900,0,1,0,1
99,3865,96000,2,4900,1,0,0,1
69,4169,100000,2,4900,0,1,0,1
69,3743,128963,2,4900,0,1,0,1
69,3774,115000,2,4900,1,0,0,1
69,4535,101256,2,4900,0,1,0,1
69,3653,85000,1,4990,1,0,0,1
69,3896,88296,1,4990,0,1,0,1
69,3684,119000,1,4990,1,0,0,1
84,3470,110000,2,4990,1,0,0,1
101,3439,147448,2,4990,0,0,1,1
69,3957,136000,1,4990,1,0,0,1
69,4596,115000,1,4999,0,0,1,1
69,3988,95000,3,4999,0,1,0,1
69,3592,129000,2,4999,1,0,0,1
69,4200,110000,1,4999,1,0,0,1
99,4414,104269,2,4999,0,0,1,1
69,4292,112400,1,5000,1,0,0,1
69,4292,65000,1,5000,1,0,0,1
69,4474,184000,1,5000,0,0,1,1
69,3623,119800,2,5000,0,1,0,1
69,4230,124000,2,5000,1,0,0,1
69,4474,56000,1,5000,0,1,0,1
69,4261,119000,1,5000,0,1,0,1
69,4474,113000,1,5000,1,0,0,1
69,4353,132000,2,5000,0,0,1,1
69,4658,100000,1,5000,0,0,1,1
84,3319,161000,1,5000,1,0,0,1
69,4108,90000,2,5000,1,0,0,0
69,4049,130000,3,5000,1,0,0,1
69,4230,157345,2,5000,1,0,0,1
99,4230,115000,2,5000,1,0,0,0
69,3865,152837,1,5000,1,0,0,0
99,4443,158000,1,5000,0,0,1,1
69,3988,135000,2,5050,1,0,0,1
69,4474,55900,1,5100,1,0,0,1
69,3835,156000,1,5100,0,1,0,1
69,3865,104238,2,5100,1,0,0,1
69,4383,129600,1,5100,0,1,0,1
69,4139,75000,1,5100,0,0,1,0
69,3988,92000,2,5100,1,0,0,1
99,3896,120000,2,5100,0,0,1,1
99,4443,92000,1,5199,0,0,1,1
69,548,82000,1,5200,0,1,0,0
69,4353,119000,1,5200,0,0,1,1
69,3197,93986,1,5200,1,0,0,1
69,2313,125000,1,5200,0,0,1,1
69,4535,66416,2,5200,0,1,0,1
69,4474,61200,1,5200,1,0,0,1
84,3227,128000,1,5200,1,0,0,1
69,3835,100000,1,5200,1,0,0,1
69,2800,150000,2,5200,1,0,0,1
69,3712,115280,1,5200,0,0,1,1
69,3347,111629,2,5200,1,0,0,1
69,4200,108852,1,5200,1,0,0,1
69,3835,100000,1,5200,1,0,0,1
69,3957,110000,1,5200,1,0,0,0
69,4139,113000,1,5200,0,1,0,1
69,4108,138000,1,5200,1,0,0,1
69,3804,92000,1,5200,0,1,0,1
69,3684,104000,1,5200,1,0,0,1
69,3835,124000,2,5200,1,0,0,1
69,4292,122900,1,5200,0,1,0,1
99,4200,112500,1,5200,0,0,1,1
69,4230,138000,2,5200,1,0,0,1
69,4535,41500,1,5290,1,0,0,1
84,3500,97000,1,5290,1,0,0,1
69,3653,122649,2,5300,1,0,0,1
99,4292,78000,1,5300,0,0,1,1
69,3927,123000,1,5300,0,1,0,1
69,4077,79890,1,5300,0,1,0,1
69,3623,97000,2,5300,1,0,0,0
101,4077,70555,2,5300,0,1,0,1
69,4261,104000,1,5300,1,0,0,1
69,4108,91801,1,5300,1,0,0,1
99,4627,101000,1,5300,0,0,1,1
69,3531,118000,2,5300,1,0,0,1
69,3258,120000,2,5300,0,0,1,1
69,4292,124000,1,5300,1,0,0,1
69,4383,122500,2,5300,1,0,0,1
84,3500,94000,2,5300,1,0,0,1
69,4108,119000,2,5300,1,0,0,1
84,3105,148000,2,5300,0,1,0,1
99,4658,131300,2,5300,1,0,0,1
69,3865,120500,1,5300,0,1,0,1
69,4169,83861,1,5300,0,0,1,1
69,4077,168000,2,5350,1,0,0,1
69,3804,87000,2,5399,1,0,0,1
69,3957,144000,2,5399,0,0,1,1
69,3653,82500,1,5400,0,0,1,1
69,4414,177000,1,5400,0,0,1,1
69,3347,133000,2,5400,1,0,0,1
69,4353,77457,3,5400,0,0,1,1
69,4474,143900,2,5400,1,0,0,1
69,3258,136200,2,5400,1,0,0,1
69,3288,128000,1,5400,1,0,0,1
69,3319,161674,1,5400,1,0,0,1
69,3166,98000,1,5400,1,0,0,1
69,4292,97000,1,5400,1,0,0,1
69,2982,124900,1,5450,1,0,0,1
69,4627,158222,1,5450,1,0,0,1
69,4566,86000,2,5450,0,1,0,1
69,3743,68833,2,5490,0,0,1,1
69,3957,38000,1,5490,0,0,1,1
69,4018,83000,2,5490,1,0,0,1
69,4353,140100,1,5490,0,0,1,1
69,3500,105026,2,5490,0,1,0,1
69,4049,135000,2,5490,1,0,0,1
84,3074,79000,2,5499,0,0,1,1
69,4230,149000,2,5499,1,0,0,0
69,4443,154000,1,5500,1,0,0,1
69,3865,95350,1,5500,1,0,0,1
101,4049,137142,1,5500,0,0,1,1
69,4169,231873,2,5500,1,0,0,1
69,2588,88000,2,5500,0,1,0,1
69,3562,96490,1,5500,1,0,0,1
69,4474,90000,1,5500,0,0,1,1
69,3957,145000,2,5500,1,0,0,1
101,4596,121000,2,5500,1,0,0,1
69,3684,110000,2,5500,1,0,0,1
69,3409,99556,1,5500,1,0,0,1
69,4474,55976,2,5500,1,0,0,1
69,4200,134717,1,5500,1,0,0,1
69,3470,113344,1,5500,1,0,0,1
69,3712,130000,1,5500,0,1,0,0
99,4566,96000,1,5500,1,0,0,1
